,Player,Frame,Rensa,Honsen,Kaishu,Tokuten,Frame_End,Score
0,1.0,48158.0,1.0,0.0,,180.0,48158.0,12-12
1,2.0,48305.0,1.0,0.0,,40.0,48305.0,13-12
2,2.0,48470.0,2.0,0.0,,540.0,48510.0,
3,1.0,48544.0,3.0,0.0,,1400.0,48627.0,
4,2.0,48591.0,3.0,0.0,,1000.0,48678.0,
5,2.0,48757.0,2.0,0.0,,1023.0,48797.0,
6,1.0,48799.0,2.0,0.0,,360.0,48842.0,
7,2.0,48927.0,1.0,0.0,,180.0,48927.0,
8,1.0,48955.0,1.0,0.0,,100.0,48955.0,
9,1.0,49128.0,3.0,0.0,,1260.0,49210.0,
10,2.0,49322.0,1.0,0.0,,100.0,49322.0,
11,1.0,49345.0,3.0,0.0,,1915.0,49426.0,
12,2.0,49399.0,1.0,1.0,,40.0,49399.0,
