,Frame,Tumo,Player,Rensa,Honsen,Kaishu,Tokuten,Ojama,Ojama_detail,Zenkeshi,Continue,Start,Score,Win,Frame_End
0,17908.0,28,1.0,1.0,0.0,,243.0,0,0,0.0,1,1,4-5,1.0,17908.0
1,17947.0,29,2.0,1.0,0.0,,180.0,0,0,,1,0,5-5,,17947.0
2,18037.0,32,2.0,1.0,0.0,,45.0,0,0,,1,0,,,18037.0
3,18084.0,36,1.0,1.0,0.0,,283.0,0,0,,1,0,,,18084.0
4,18122.0,35,2.0,1.0,0.0,,180.0,0,0,,1,0,,,18122.0
5,18200.0,40,1.0,2.0,0.0,,703.0,1,3,,0,0,,,18241.0
6,18315.0,39,2.0,3.0,0.0,,2970.0,0,0,,1,1,,,18399.0
7,18327.0,43,1.0,5.0,0.0,,6040.0,0,0,,1,0,,,18491.0
8,18535.0,43,2.0,8.0,1.0,87.5,24280.0,0,0,,1,0,,,18823.0
9,18689.0,52,1.0,10.0,1.0,88.46153846153847,39360.0,1,29,,0,0,,,19055.0
